"scientific.name","common.name","iconic.taxon.name","groups","observed.on","place.guess","positional.accuracy","user.login","user.id","captive.cultivated","url","image.url","license","source","checklist","count","longitude","latitude","pic.name"
"Euptoieta claudia","variegated fritillary","Insecta","Insects",2025-11-29,"Hope Camp Trail, Saguaro National Park, Pima County, AZ, USA",NA,"pauls+tucson",2397809,"false","https://www.inaturalist.org/observations/328981285","https://inaturalist-open-data.s3.amazonaws.com/photos/596246546/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6833190001,32.136288,"variegated fritillary_pauls+tucson_1"
"Cylindropuntia bigelovii","teddybear cholla","Plantae","Plants",2025-11-29,"Tucson, AZ 85730, USA",NA,"tapaculo99",20957,"false","https://www.inaturalist.org/observations/328845053","https://inaturalist-open-data.s3.amazonaws.com/photos/595976218/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6739277778,32.2322083333,"teddybear cholla_tapaculo99_2"
"Haemorhous mexicanus","house finch","Aves","Birds",2025-11-26,"Pima County, AZ, USA",332,"roomthily",442615,"false","https://www.inaturalist.org/observations/328432069","https://inaturalist-open-data.s3.amazonaws.com/photos/595133824/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6656282159,32.2280258035,"house finch_roomthily_3"
"Syntrichia ruralis","star moss","Plantae","Plants",2025-11-27,"Tucson",3,"larea",8428309,"false","https://www.inaturalist.org/observations/328496348","https://inaturalist-open-data.s3.amazonaws.com/photos/595271792/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.7279052734,32.2201766968,"star moss_larea_4"
"Cenchrus setaceus","fountain grass","Plantae","Plants",2025-11-29,"Vail, AZ 85641, USA",NA,"tapaculo99",20957,"false","https://www.inaturalist.org/observations/328845297","https://inaturalist-open-data.s3.amazonaws.com/photos/595976643/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6507055556,32.2275555556,"fountain grass_tapaculo99_5"
"Calypte anna","anna's hummingbird","Aves","Birds",2025-11-28,"Scenic Trail, Tucson, AZ, US",3,"amplex4love",5504,"false","https://www.inaturalist.org/observations/328777756","https://static.inaturalist.org/photos/595841243/medium.jpg","CC-BY","iNaturalist",NA,1,-111.1401361667,32.3518533333,"anna's hummingbird_amplex4love_6"
"Stephanomeria pauciflora","brownplume wirelettuce","Plantae","Plants",2025-11-26,"Pima County, AZ, USA",5,"roomthily",442615,"false","https://www.inaturalist.org/observations/328796910","https://inaturalist-open-data.s3.amazonaws.com/photos/595875733/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6579277778,32.2258694444,"brownplume wirelettuce_roomthily_7"
"Verbesina encelioides","cowpen daisy","Plantae","Plants",2025-11-27,"Tucson",5,"larea",8428309,"false","https://www.inaturalist.org/observations/328504468","https://inaturalist-open-data.s3.amazonaws.com/photos/595287230/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.7240219116,32.2060241699,"cowpen daisy_larea_8"
"Psilostrophe cooperi","whitestem paperflower","Plantae","Plants",2025-11-27,"Tucson",7,"larea",8428309,"false","https://www.inaturalist.org/observations/328495375","https://inaturalist-open-data.s3.amazonaws.com/photos/595268427/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.7273635864,32.2208786011,"whitestem paperflower_larea_9"
"Allionia incarnata","trailing windmills","Plantae","Plants",2025-11-29,"Tucson, AZ 85730, USA",NA,"tapaculo99",20957,"false","https://www.inaturalist.org/observations/328845098","https://inaturalist-open-data.s3.amazonaws.com/photos/595976272/medium.jpg","CC-BY-NC","iNaturalist",NA,1,-110.6727388889,32.2298944444,"trailing windmills_tapaculo99_10"
