scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Melozone aberti,abert's towhee,Aves,Birds,2026-08-08,Saguaro NP--West--Valley View Overlook Trail,NA,NA,NA,NA,https://ebird.org/checklist/S381284537,NA,NA,eBird,S381284537,1,-111.197789,32.2770486
Melozone aberti,abert's towhee,Aves,Birds,2026-08-08,Saguaro NP--West--Hugh Norris Trail,NA,NA,NA,NA,https://ebird.org/checklist/S381282402,NA,NA,eBird,S381282402,1,-111.1983991,32.2694148
Melozone aberti,abert's towhee,Aves,Birds,2026-08-07,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380984701,NA,NA,eBird,S380984701,1,-110.724721,32.2035417
Melozone aberti,abert's towhee,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest South Trailhead,NA,NA,NA,NA,https://ebird.org/checklist/S380847581,NA,NA,eBird,S380847581,NA,-110.7287979,32.1704179
Melozone aberti,abert's towhee,Aves,Birds,2026-08-05,Saguaro NP--East--Lower Chiminea Canyon,NA,NA,NA,NA,https://ebird.org/checklist/S380197643,NA,NA,eBird,S380197643,1,-110.6086395,32.1534807
Falco sparverius,american kestrel,Aves,Birds,2026-08-10,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382116716,NA,NA,eBird,S382116716,2,-110.724721,32.2035417
Falco sparverius,american kestrel,Aves,Birds,2026-08-09,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381803755,NA,NA,eBird,S381803755,1,-110.719749,32.180752
Falco sparverius,american kestrel,Aves,Birds,2026-08-08,Saguaro NP--East--Extreme Living Overlook,NA,NA,NA,NA,https://ebird.org/checklist/S381376308,NA,NA,eBird,S381376308,2,-110.731385,32.189803
Falco sparverius,american kestrel,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S380852376,NA,NA,eBird,S380852376,1,-110.7076505,32.191219
Falco sparverius,american kestrel,Aves,Birds,2026-08-05,Saguaro NP--West--Hugh Norris Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380641008,NA,NA,eBird,S380641008,1,-111.1983991,32.2694148
Libytheana carinenta,american snout,Insecta,Insects,2026-08-06,"Pima County, AZ, USA",287,roomthily,442615,false,https://www.inaturalist.org/observations/388915279,https://inaturalist-open-data.s3.amazonaws.com/photos/712349470/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6837501217,32.2172911551
Digitaria californica,arizona cottontop,Plantae,Plants,2026-08-04,"Saguaro, Saguaro National Park, Pima, Arizona, United States",3,huntingbon,963417,false,https://www.inaturalist.org/observations/389679038,https://inaturalist-open-data.s3.amazonaws.com/photos/713811541/medium.jpg,CC0,iNaturalist,NA,1,-110.7340861111,32.1990666667
Stagmomantis limbata,arizona mantis,Insecta,Insects,2026-08-06,"Saguaro National Park, Pima County, US-AZ, US",100,tarantulas,1893531,false,https://www.inaturalist.org/observations/388772504,https://inaturalist-open-data.s3.amazonaws.com/photos/712071222/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.7365370914,32.180117728
Myiarchus cinerascens,ash-throated flycatcher,Aves,Birds,2026-08-08,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S381358594,NA,NA,eBird,S381358594,1,-110.724721,32.2035417
Vireo bellii,bell's vireo,Aves,Birds,2026-08-05,Saguaro NP--East--Lower Chiminea Canyon,NA,NA,NA,NA,https://ebird.org/checklist/S380197643,NA,NA,eBird,S380197643,5,-110.6086395,32.1534807
Thryomanes bewickii,bewick's wren,Aves,Birds,2026-08-10,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382061545,NA,NA,eBird,S382061545,2,-110.724721,32.2035417
Thryomanes bewickii,bewick's wren,Aves,Birds,2026-08-09,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381803755,NA,NA,eBird,S381803755,1,-110.719749,32.180752
Archilochus alexandri,black-chinned hummingbird,Aves,Birds,2026-08-05,Saguaro NP--West--Hugh Norris Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380641008,NA,NA,eBird,S380641008,1,-111.1983991,32.2694148
Pheucticus melanocephalus,black-headed grosbeak,Aves,Birds,2026-08-07,Saguaro NP--East--Javelina Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S380986294,NA,NA,eBird,S380986294,1,-110.7236373,32.1657012
Pheucticus melanocephalus,black-headed grosbeak,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest South Trailhead,NA,NA,NA,NA,https://ebird.org/checklist/S380826761,NA,NA,eBird,S380826761,1,-110.7287979,32.1704179
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-09,"Shantz Trail, Tucson, AZ, US",NA,arizona_adrienne,1128542,false,https://www.inaturalist.org/observations/389964457,https://inaturalist-open-data.s3.amazonaws.com/photos/714376253/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.727105,32.22022
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-10,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382061545,NA,NA,eBird,S382061545,2,-110.724721,32.2035417
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-10,Saguaro NP--West--Desert Discovery Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382039197,NA,NA,eBird,S382039197,2,-111.2106575,32.2625304
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-09,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381803755,NA,NA,eBird,S381803755,2,-110.719749,32.180752
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-09,"Saguaro National Park - Tucson Mountain District (West), Tucson US-AZ 32.26904, -111.21582",NA,NA,NA,NA,https://ebird.org/checklist/S381786834,NA,NA,eBird,S381786834,1,-111.215823,32.26904
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-09,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S381652398,NA,NA,eBird,S381652398,1,-110.7076505,32.191219
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-08,Saguaro NP--West--Valley View Overlook Trail,NA,NA,NA,NA,https://ebird.org/checklist/S381284537,NA,NA,eBird,S381284537,1,-111.197789,32.2770486
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-07,Desert Discovery Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380973934,NA,NA,eBird,S380973934,1,-111.203597,32.256832
Polioptila melanura,black-tailed gnatcatcher,Aves,Birds,2026-08-07,Saguaro NP--East--Javelina Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S380986294,NA,NA,eBird,S380986294,1,-110.7236373,32.1657012
